id,numTel,etat,type de carte,Date d'activation,date d'expiration,date inscription,user,uptime,location,status
41,+33(0)223524796,suspended,postpaid,2023-05-09,2024-05-08,2023-04-26,blebreton,409h,Rabat,online
42,+33389012630,active,postpaid,2024-04-04,2025-04-04,2024-03-28,brigitteturpin,71h,Oujda,online
43,0415156173,inactive,prepaid,2024-01-04,2025-01-03,2023-12-26,cweiss,447h,Rabat,offline
44,0582892869,suspended,prepaid,2023-09-01,2024-08-31,2023-08-06,lruiz,25h,Casablanca,online
45,+33257123572,active,prepaid,2025-01-07,2026-01-07,2024-12-08,vlemonnier,208h,Kenitra,offline
46,+33320883893,inactive,prepaid,2025-01-28,2026-01-28,2025-01-21,leduclouis,84h,Oujda,online
47,+33(0)183424259,inactive,postpaid,2024-07-26,2025-07-26,2024-07-13,bfabre,146h,Oujda,offline
48,0296527962,active,postpaid,2023-10-13,2024-10-12,2023-10-08,xcharpentier,111h,Casablanca,online
49,+33324649651,inactive,prepaid,2024-08-12,2025-08-12,2024-07-19,kturpin,25h,Kenitra,online
50,+33(0)222520028,suspended,prepaid,2024-05-18,2025-05-18,2024-05-16,julie57,435h,Marrakech,online
51,0228859036,active,prepaid,2024-02-03,2025-02-02,2024-01-14,lorraine28,206h,Rabat,online
52,0587410294,suspended,prepaid,2023-12-05,2024-12-04,2023-11-16,rchartier,317h,Rabat,offline
53,0174942308,suspended,postpaid,2025-02-23,2026-02-23,2025-02-01,jlemonnier,478h,Fès,online
54,0248836591,suspended,postpaid,2023-06-01,2024-05-31,2023-05-10,edithantoine,122h,Fès,offline
55,+33(0)326426213,suspended,postpaid,2023-11-07,2024-11-06,2023-11-02,jeanninethibault,234h,Agadir,online
56,0635956369,inactive,prepaid,2024-06-16,2025-06-16,2024-06-15,munozsuzanne,37h,Tanger,offline
57,+33(0)633046178,inactive,prepaid,2025-02-02,2026-02-02,2025-01-28,elisemerle,450h,Tanger,offline
58,+33(0)472849245,active,postpaid,2024-09-29,2025-09-29,2024-09-19,ymasse,426h,Fès,online
59,+33(0)357359208,suspended,postpaid,2023-08-28,2024-08-27,2023-08-06,delormevirginie,477h,Rabat,online
60,0698374429,active,prepaid,2023-07-24,2024-07-23,2023-07-15,reymarthe,380h,Marrakech,offline
61,+33495830413,suspended,prepaid,2023-12-28,2024-12-27,2023-12-18,zacharie44,367h,Agadir,online
62,+33563892354,suspended,postpaid,2024-02-14,2025-02-13,2024-01-23,massonmanon,258h,Kenitra,offline
63,0485803471,active,prepaid,2025-02-28,2026-02-28,2025-01-30,chauvetoceane,324h,Oujda,offline
64,+33(0)486315762,active,postpaid,2024-02-17,2025-02-16,2024-02-15,theophileaubert,394h,Marrakech,offline
65,0164956346,suspended,postpaid,2025-04-11,2026-04-11,2025-04-05,dupuiselise,282h,Oujda,online
66,0741977645,active,prepaid,2024-06-09,2025-06-09,2024-06-05,xmartins,279h,Casablanca,offline
67,+33499814500,suspended,prepaid,2024-10-04,2025-10-04,2024-09-15,potieralexandre,220h,Marrakech,online
68,+33558222091,inactive,prepaid,2024-07-06,2025-07-06,2024-06-26,ines11,460h,Agadir,online
69,0634645686,active,prepaid,2024-11-26,2025-11-26,2024-11-04,margot17,181h,Oujda,online
70,+33(0)565958647,active,prepaid,2024-11-13,2025-11-13,2024-10-14,bertinrene,499h,Marrakech,offline
71,+33(0)450707552,active,postpaid,2023-10-10,2024-10-09,2023-10-09,stephane28,400h,Oujda,online
72,0519500636,active,prepaid,2025-04-05,2026-04-05,2025-03-27,daniellelebrun,195h,Casablanca,offline
73,0411109180,active,postpaid,2025-02-20,2026-02-20,2025-02-12,fredericgrenier,179h,Fès,online
74,0248321739,active,prepaid,2024-05-14,2025-05-14,2024-05-06,ovasseur,204h,Agadir,offline
75,+33243460699,active,postpaid,2023-09-23,2024-09-22,2023-08-26,fferreira,179h,Oujda,offline
76,+33(0)487076526,active,postpaid,2023-05-08,2024-05-07,2023-05-07,amarques,91h,Fès,online
77,+33(0)362632410,suspended,postpaid,2025-03-18,2026-03-18,2025-03-14,guilloujosette,176h,Agadir,offline
78,0630506589,suspended,prepaid,2023-06-18,2024-06-17,2023-05-29,dlaunay,197h,Tanger,offline
79,+33(0)139197828,suspended,postpaid,2024-10-13,2025-10-13,2024-10-11,colettedeschamps,0h,Tanger,offline
80,0278107956,active,postpaid,2023-10-02,2024-10-01,2023-09-18,georges28,319h,Agadir,online
81,+33177805892,inactive,postpaid,2024-12-13,2025-12-13,2024-11-19,joseph80,341h,Oujda,offline
82,+33(0)516787455,suspended,postpaid,2025-01-29,2026-01-29,2025-01-16,gabrielfournier,283h,Marrakech,online
83,+33380082967,suspended,postpaid,2024-03-15,2025-03-15,2024-03-01,noemi65,346h,Marrakech,offline
84,0257485765,suspended,prepaid,2023-10-09,2024-10-08,2023-09-26,hschneider,155h,Fès,online
85,+33(0)536889256,suspended,postpaid,2023-09-19,2024-09-18,2023-09-05,ycamus,238h,Kenitra,offline
86,0351139576,active,postpaid,2025-02-02,2026-02-02,2025-01-11,aurorelebreton,406h,Marrakech,online
87,0247271057,suspended,postpaid,2023-04-20,2024-04-19,2023-04-10,helenetorres,47h,Tanger,offline
88,+33(0)549062766,active,prepaid,2024-09-13,2025-09-13,2024-09-05,kremy,12h,Casablanca,online
89,+33236061124,suspended,prepaid,2023-08-08,2024-08-07,2023-07-23,camilleantoine,233h,Oujda,online
90,0231245055,suspended,postpaid,2024-12-26,2025-12-26,2024-12-03,alphonsebarbier,253h,Oujda,online
91,+33(0)788882638,suspended,prepaid,2023-04-25,2024-04-24,2023-04-20,alacroix,457h,Rabat,offline
92,+33(0)559460798,active,postpaid,2024-07-05,2025-07-05,2024-06-27,zmarie,25h,Tanger,online
93,+33579470075,active,postpaid,2023-09-21,2024-09-20,2023-09-06,brunisabelle,341h,Agadir,offline
94,0638193340,suspended,postpaid,2024-07-28,2025-07-28,2024-07-08,gilbertleger,425h,Kenitra,online
95,0279392963,inactive,postpaid,2025-02-02,2026-02-02,2025-01-09,ypottier,132h,Tanger,offline
96,+33546688895,suspended,postpaid,2023-09-08,2024-09-07,2023-08-14,parisroger,320h,Tanger,offline
97,+33458329279,active,postpaid,2024-05-10,2025-05-10,2024-04-25,pruvostchantal,120h,Fès,offline
98,+33(0)493431074,suspended,prepaid,2023-08-31,2024-08-30,2023-08-20,veronique42,70h,Marrakech,online
99,0325783438,suspended,prepaid,2023-12-26,2024-12-25,2023-12-13,vincentlaroche,361h,Tanger,online
100,+33(0)473481989,inactive,postpaid,2024-06-27,2025-06-27,2024-06-13,zhenry,277h,Kenitra,offline
101,+33415582867,active,postpaid,2024-06-28,2025-06-28,2024-06-26,dianeleclercq,199h,Casablanca,offline
102,+33788170801,active,postpaid,2024-12-24,2025-12-24,2024-12-08,danielledupont,152h,Oujda,offline
103,0371865997,suspended,prepaid,2024-12-11,2025-12-11,2024-11-23,lopesines,249h,Tanger,offline
104,+33143179650,inactive,prepaid,2024-05-15,2025-05-15,2024-05-01,marine50,199h,Agadir,offline
105,0256532494,active,postpaid,2024-10-22,2025-10-22,2024-09-28,eugenecarlier,470h,Marrakech,online
106,+33(0)477054261,inactive,prepaid,2023-10-18,2024-10-17,2023-09-18,edelannoy,42h,Oujda,online
107,0179021497,inactive,prepaid,2023-09-17,2024-09-16,2023-08-20,madeleinejacob,25h,Fès,offline
108,0223477571,active,postpaid,2024-05-16,2025-05-16,2024-05-05,hantoine,167h,Agadir,offline
109,+33180496534,inactive,postpaid,2023-11-15,2024-11-14,2023-11-06,mroy,427h,Rabat,offline
110,0411651618,suspended,prepaid,2023-10-06,2024-10-05,2023-10-05,brunlorraine,487h,Agadir,online
111,+33(0)484318594,active,prepaid,2024-07-25,2025-07-25,2024-07-04,pgallet,386h,Casablanca,online
112,0780265445,active,prepaid,2025-03-25,2026-03-25,2025-03-18,lbouvier,122h,Marrakech,offline
113,0323431507,active,prepaid,2023-09-11,2024-09-10,2023-08-20,andreeweber,238h,Fès,offline
114,+33361311339,suspended,prepaid,2023-12-20,2024-12-19,2023-12-14,pmaillot,398h,Marrakech,offline
115,+33(0)382283992,suspended,prepaid,2024-04-11,2025-04-11,2024-04-07,gonzalezbrigitte,475h,Fès,offline
116,+33(0)627757815,suspended,prepaid,2024-01-06,2025-01-05,2023-12-24,pierre19,38h,Tanger,online
117,+33(0)555377670,inactive,prepaid,2023-10-23,2024-10-22,2023-09-30,loiseauelodie,407h,Casablanca,offline
118,+33(0)549373784,inactive,postpaid,2024-11-29,2025-11-29,2024-11-11,nberger,35h,Agadir,online
119,+33(0)182981174,inactive,postpaid,2024-07-31,2025-07-31,2024-07-03,vchretien,54h,Oujda,offline
120,0508659530,inactive,prepaid,2024-09-30,2025-09-30,2024-09-09,baillyagathe,222h,Marrakech,offline
121,+33139382579,suspended,postpaid,2023-12-23,2024-12-22,2023-12-03,josephveronique,238h,Oujda,offline
122,+33379148597,active,prepaid,2024-11-25,2025-11-25,2024-11-14,kweber,142h,Kenitra,online
123,0134314531,inactive,postpaid,2024-02-20,2025-02-19,2024-01-26,marcdiaz,172h,Casablanca,offline
124,0469308005,inactive,prepaid,2024-10-02,2025-10-02,2024-09-04,bernadettevidal,249h,Tanger,offline
125,+33(0)158043222,inactive,postpaid,2024-07-11,2025-07-11,2024-06-15,tgregoire,143h,Fès,online
126,0148936772,active,prepaid,2024-01-18,2025-01-17,2024-01-01,alixweber,123h,Oujda,offline
127,+33214919941,active,postpaid,2024-12-05,2025-12-05,2024-11-17,odetteleroux,330h,Kenitra,offline
128,+33516913452,active,prepaid,2024-12-30,2025-12-30,2024-12-04,marionchristiane,150h,Tanger,offline
129,0130573749,active,postpaid,2024-01-04,2025-01-03,2023-12-12,thomas43,339h,Agadir,offline
130,+33533398901,suspended,postpaid,2024-02-23,2025-02-22,2024-02-05,gerardmeyer,217h,Agadir,offline
131,+33540114338,inactive,postpaid,2024-06-25,2025-06-25,2024-06-02,michel76,156h,Fès,online
132,+33681801036,suspended,prepaid,2024-04-09,2025-04-09,2024-04-05,louisrobert,161h,Rabat,online
133,+33608231919,active,postpaid,2023-11-29,2024-11-28,2023-11-22,alfred33,141h,Fès,online
134,0638145630,active,postpaid,2024-03-08,2025-03-08,2024-02-10,patrick47,116h,Agadir,online
135,+33469507932,active,prepaid,2023-09-22,2024-09-21,2023-09-12,anastasiephilippe,140h,Casablanca,online
136,0586245209,inactive,prepaid,2024-04-23,2025-04-23,2024-04-05,carrecelina,326h,Kenitra,online
137,0183699080,active,postpaid,2024-04-19,2025-04-19,2024-03-22,maurice62,240h,Kenitra,offline
138,+33177114185,active,prepaid,2024-02-08,2025-02-07,2024-01-28,maryse82,129h,Kenitra,online
139,0360262432,active,postpaid,2023-07-31,2024-07-30,2023-07-04,adrienribeiro,251h,Rabat,online
140,+33182400088,active,postpaid,2023-06-28,2024-06-27,2023-06-23,noel05,43h,Tanger,online
141,0246223248,inactive,prepaid,2024-01-08,2025-01-07,2023-12-21,kbernier,397h,Oujda,offline
142,0382707194,inactive,postpaid,2025-04-03,2026-04-03,2025-03-04,sylviesanchez,440h,Oujda,offline
143,0360831613,suspended,prepaid,2023-04-28,2024-04-27,2023-04-09,isaac41,312h,Rabat,online
144,0390351164,active,postpaid,2024-07-26,2025-07-26,2024-07-05,jbourgeois,338h,Rabat,online
145,0423799692,active,prepaid,2024-06-24,2025-06-24,2024-06-16,adrienne98,80h,Casablanca,offline
146,0364795391,suspended,postpaid,2023-05-02,2024-05-01,2023-04-17,theophile46,149h,Casablanca,online
147,0279046900,suspended,postpaid,2024-04-26,2025-04-26,2024-04-16,brunlouise,359h,Kenitra,online
148,+33170867352,active,postpaid,2023-07-22,2024-07-21,2023-06-30,pgomez,403h,Tanger,offline
149,+33636692063,suspended,prepaid,2024-10-02,2025-10-02,2024-09-28,isamson,331h,Marrakech,offline
150,+33(0)470844491,active,prepaid,2024-06-01,2025-06-01,2024-05-05,mroyer,30h,Marrakech,offline
151,0140516245,suspended,postpaid,2025-02-03,2026-02-03,2025-01-14,nathaliethomas,224h,Rabat,offline
152,0386571744,inactive,postpaid,2023-12-03,2024-12-02,2023-11-10,moreaufrederic,482h,Fès,offline
153,+33(0)352474531,active,prepaid,2024-12-14,2025-12-14,2024-11-29,schneiderbrigitte,455h,Oujda,offline
154,0140651802,inactive,prepaid,2024-03-15,2025-03-15,2024-02-24,michel32,46h,Tanger,online
155,+33(0)272545973,suspended,postpaid,2025-04-01,2026-04-01,2025-03-07,nath76,295h,Casablanca,online
156,0353855650,suspended,postpaid,2024-06-29,2025-06-29,2024-06-13,guillaumefabre,469h,Fès,online
157,+33177733285,inactive,postpaid,2024-08-14,2025-08-14,2024-07-26,qlejeune,496h,Rabat,offline
158,+33(0)322419526,inactive,postpaid,2023-08-02,2024-08-01,2023-07-21,etiennedelannoy,164h,Rabat,online
159,+33(0)355833473,inactive,postpaid,2023-11-07,2024-11-06,2023-10-27,sgimenez,147h,Oujda,online
160,0353761958,active,postpaid,2023-12-28,2024-12-27,2023-12-13,gregoireantoine,129h,Agadir,online
161,0177943889,inactive,prepaid,2025-01-18,2026-01-18,2024-12-24,zmaillot,336h,Kenitra,offline
162,+33(0)147334170,active,postpaid,2024-04-10,2025-04-10,2024-04-08,louise71,318h,Kenitra,offline
163,0579278179,active,prepaid,2023-10-12,2024-10-11,2023-09-17,jourdanmichelle,136h,Marrakech,offline
164,+33(0)493703468,suspended,postpaid,2025-03-07,2026-03-07,2025-02-20,ule-roux,62h,Casablanca,online
165,0139415667,active,postpaid,2023-10-03,2024-10-02,2023-09-10,collingeorges,282h,Casablanca,offline
166,0321091766,active,prepaid,2023-12-16,2024-12-15,2023-12-13,boulangeralexandria,236h,Rabat,online
167,+33(0)427265080,suspended,postpaid,2025-02-05,2026-02-05,2025-01-20,fischerphilippe,260h,Fès,offline
168,0178260217,inactive,postpaid,2024-02-09,2025-02-08,2024-01-13,mathilde13,124h,Kenitra,online
169,0310359688,active,prepaid,2024-12-29,2025-12-29,2024-12-16,josephpierre,442h,Rabat,offline
170,+33411018913,inactive,postpaid,2024-10-10,2025-10-10,2024-09-15,daniel64,478h,Fès,online
171,0235030048,suspended,postpaid,2023-12-12,2024-12-11,2023-12-02,nfabre,428h,Kenitra,online
172,+33491153967,suspended,postpaid,2024-05-18,2025-05-18,2024-05-03,mandre,176h,Agadir,offline
173,0443342096,inactive,prepaid,2025-03-11,2026-03-11,2025-02-24,huguesklein,357h,Tanger,offline
174,+33339107524,inactive,prepaid,2023-05-15,2024-05-14,2023-05-07,noemi87,162h,Kenitra,offline
175,+33(0)366027126,suspended,prepaid,2023-07-13,2024-07-12,2023-06-30,sylvie78,253h,Casablanca,online
176,0249852179,suspended,postpaid,2025-01-16,2026-01-16,2024-12-30,guygay,445h,Rabat,offline
177,+33(0)471738126,suspended,postpaid,2024-07-08,2025-07-08,2024-07-04,cordierzacharie,7h,Marrakech,offline
178,+33540109492,suspended,prepaid,2025-04-08,2026-04-08,2025-03-11,etienne85,38h,Kenitra,offline
179,0758550922,suspended,postpaid,2023-11-13,2024-11-12,2023-11-02,agatheroussel,332h,Rabat,offline
180,+33553902510,suspended,postpaid,2024-10-17,2025-10-17,2024-09-19,imary,488h,Agadir,offline
181,0536761915,suspended,prepaid,2023-07-02,2024-07-01,2023-06-04,clemence71,316h,Rabat,online
182,+33285684742,suspended,postpaid,2024-06-10,2025-06-10,2024-05-20,gauthierolivie,116h,Rabat,offline
183,+33(0)533679504,suspended,prepaid,2024-04-03,2025-04-03,2024-03-30,martelmarie,227h,Marrakech,offline
184,+33(0)237399150,active,prepaid,2024-04-30,2025-04-30,2024-04-01,jeanne31,166h,Casablanca,offline
185,0582946352,inactive,postpaid,2024-08-08,2025-08-08,2024-07-27,virginiemorin,74h,Tanger,offline
186,+33375848864,suspended,prepaid,2024-08-13,2025-08-13,2024-07-25,anais02,87h,Marrakech,online
187,0255092202,inactive,prepaid,2025-03-07,2026-03-07,2025-02-15,adelaidegay,254h,Marrakech,online
188,0262319924,suspended,postpaid,2024-04-23,2025-04-23,2024-04-08,diane90,235h,Fès,online
189,+33155599334,inactive,postpaid,2024-10-30,2025-10-30,2024-10-01,duboisalex,346h,Marrakech,online
190,+33(0)380683138,inactive,postpaid,2025-03-09,2026-03-09,2025-02-22,zoebouchet,327h,Oujda,offline
191,0386845819,inactive,prepaid,2023-10-17,2024-10-16,2023-10-02,reydenise,196h,Kenitra,online
192,+33(0)149997555,inactive,postpaid,2023-08-27,2024-08-26,2023-08-19,labbemartine,294h,Fès,offline
193,0450293912,suspended,postpaid,2023-05-10,2024-05-09,2023-05-09,macebenoit,140h,Casablanca,online
194,+33(0)246449298,suspended,postpaid,2023-11-19,2024-11-18,2023-10-20,sebastien56,426h,Fès,online
195,0354293079,inactive,prepaid,2023-11-18,2024-11-17,2023-10-29,lucie88,325h,Tanger,offline
196,+33797984097,suspended,prepaid,2024-05-21,2025-05-21,2024-04-29,reneemarchal,321h,Rabat,online
197,+33735372150,inactive,prepaid,2023-05-03,2024-05-02,2023-04-23,weissedith,296h,Agadir,online
198,0381545294,inactive,postpaid,2025-03-31,2026-03-31,2025-03-28,massegilles,382h,Oujda,online
199,0759992057,active,postpaid,2024-09-14,2025-09-14,2024-09-07,margaux27,271h,Fès,online
200,+33(0)485991714,inactive,postpaid,2023-08-03,2024-08-02,2023-07-25,gabriellevalette,382h,Agadir,online
201,0257840684,active,prepaid,2025-01-05,2026-01-05,2024-12-21,lucyguillot,386h,Tanger,offline
202,+33352745505,suspended,postpaid,2024-11-01,2025-11-01,2024-10-04,vlemonnier,46h,Oujda,online
203,+33367408093,suspended,prepaid,2023-04-28,2024-04-27,2023-04-19,therese96,232h,Agadir,offline
204,0323669269,inactive,postpaid,2024-08-16,2025-08-16,2024-07-28,antoine08,55h,Tanger,offline
205,0517205307,suspended,postpaid,2024-03-17,2025-03-17,2024-03-16,clouis,468h,Tanger,online
206,+33(0)486719820,inactive,postpaid,2023-07-26,2024-07-25,2023-07-05,odettepierre,332h,Oujda,online
207,0463583487,active,prepaid,2023-04-19,2024-04-18,2023-04-14,martinsfrederic,155h,Kenitra,online
208,0176879297,active,prepaid,2024-08-07,2025-08-07,2024-08-03,boulangercecile,198h,Kenitra,offline
209,0296776685,suspended,postpaid,2025-01-02,2026-01-02,2024-12-11,delaunaymartine,300h,Marrakech,offline
210,0188940162,active,postpaid,2023-12-16,2024-12-15,2023-11-25,henri04,315h,Oujda,offline
211,0508917603,suspended,postpaid,2024-10-10,2025-10-10,2024-10-08,cecile96,111h,Kenitra,offline
212,+33(0)387856985,inactive,prepaid,2023-10-10,2024-10-09,2023-10-02,franckpoirier,351h,Agadir,offline
213,0278071839,inactive,postpaid,2023-04-21,2024-04-20,2023-04-19,fleuryalfred,97h,Rabat,offline
214,+33457749813,suspended,prepaid,2024-04-26,2025-04-26,2024-04-23,alveshugues,328h,Casablanca,online
215,0279233900,inactive,prepaid,2023-09-05,2024-09-04,2023-08-10,weissmarguerite,64h,Tanger,online
216,+33(0)156939324,suspended,prepaid,2024-03-19,2025-03-19,2024-02-21,aurore35,300h,Tanger,online
217,0244173559,active,prepaid,2024-03-15,2025-03-15,2024-03-04,mdelahaye,141h,Marrakech,online
218,0498678196,inactive,prepaid,2024-04-20,2025-04-20,2024-04-02,julie58,56h,Casablanca,online
219,0248394931,inactive,prepaid,2024-01-13,2025-01-12,2024-01-12,moniquerossi,301h,Agadir,online
220,0497371244,inactive,prepaid,2024-11-28,2025-11-28,2024-11-22,rogermoreno,64h,Oujda,online
221,+33498769707,active,postpaid,2023-09-10,2024-09-09,2023-08-17,josephlaroche,229h,Agadir,online
222,+33632414327,suspended,prepaid,2023-10-13,2024-10-12,2023-09-28,gimenezmargot,484h,Casablanca,offline
223,+33(0)236348668,suspended,prepaid,2023-11-27,2024-11-26,2023-11-12,perrotlouise,31h,Kenitra,offline
224,0480725033,suspended,prepaid,2024-01-15,2025-01-14,2024-01-01,lagardegilles,251h,Kenitra,online
225,0351751518,active,postpaid,2023-10-16,2024-10-15,2023-09-17,evalentin,311h,Marrakech,online
226,0389129081,inactive,postpaid,2023-08-25,2024-08-24,2023-08-20,peroncapucine,195h,Fès,offline
227,0222874832,suspended,postpaid,2023-07-28,2024-07-27,2023-07-11,lebretonagnes,50h,Rabat,online
228,0638412079,inactive,prepaid,2024-08-19,2025-08-19,2024-08-05,louisbreton,211h,Agadir,offline
229,0795961788,inactive,prepaid,2025-01-24,2026-01-24,2025-01-11,wcolin,160h,Oujda,offline
230,0142335017,inactive,postpaid,2024-04-16,2025-04-16,2024-03-25,timotheepotier,488h,Marrakech,offline
231,+33545889137,active,prepaid,2023-08-08,2024-08-07,2023-08-05,stephanie78,47h,Oujda,online
232,0635394896,suspended,postpaid,2023-12-22,2024-12-21,2023-11-28,martinhubert,415h,Marrakech,online
233,+33(0)470737848,suspended,postpaid,2023-12-19,2024-12-18,2023-11-30,sbourgeois,343h,Rabat,offline
234,+33148233794,suspended,postpaid,2024-04-24,2025-04-24,2024-04-12,carreanne,444h,Casablanca,offline
235,+33(0)473905249,inactive,postpaid,2024-10-17,2025-10-17,2024-09-27,simonsuzanne,53h,Tanger,online
236,+33478837589,inactive,prepaid,2024-04-03,2025-04-03,2024-03-12,eallain,433h,Rabat,offline
237,+33389187999,suspended,postpaid,2023-11-24,2024-11-23,2023-10-27,wjean,58h,Fès,online
238,+33160705279,inactive,prepaid,2023-04-22,2024-04-21,2023-03-27,hortense15,311h,Fès,online
239,+33(0)466641861,inactive,postpaid,2023-04-30,2024-04-29,2023-04-24,guilletarnaude,471h,Agadir,offline
240,+33229526270,active,prepaid,2024-12-24,2025-12-24,2024-12-23,lmaurice,289h,Oujda,online
241,0219736961,suspended,prepaid,2025-01-29,2026-01-29,2025-01-24,mullersuzanne,46h,Tanger,offline
242,0481513204,inactive,postpaid,2023-05-14,2024-05-13,2023-04-30,diane92,80h,Agadir,offline
243,+33(0)219291432,inactive,prepaid,2024-04-14,2025-04-14,2024-03-21,xbarthelemy,452h,Casablanca,online
244,0535164835,suspended,prepaid,2024-06-28,2025-06-28,2024-06-22,celine40,345h,Rabat,offline
245,+33(0)183582100,suspended,postpaid,2024-03-16,2025-03-16,2024-03-01,leforthenri,248h,Kenitra,offline
246,0252347918,active,prepaid,2023-10-08,2024-10-07,2023-09-29,edith18,176h,Oujda,online
247,+33(0)437295817,suspended,postpaid,2023-04-25,2024-04-24,2023-04-15,sophie48,269h,Fès,online
248,0326740079,inactive,prepaid,2023-11-27,2024-11-26,2023-11-19,rgautier,3h,Tanger,offline
249,0258324689,active,postpaid,2024-12-11,2025-12-11,2024-12-04,eraynaud,148h,Agadir,online
250,0467702489,inactive,postpaid,2024-04-01,2025-04-01,2024-03-31,xavier61,89h,Marrakech,offline
251,+33380665556,suspended,prepaid,2025-03-12,2026-03-12,2025-02-22,mathilde08,256h,Agadir,online
252,0364137526,suspended,prepaid,2025-01-31,2026-01-31,2025-01-18,vdumont,223h,Casablanca,offline
253,0671368441,active,postpaid,2024-05-25,2025-05-25,2024-04-25,bprevost,294h,Oujda,offline
254,0147409927,suspended,postpaid,2024-01-26,2025-01-25,2024-01-03,kvasseur,148h,Rabat,offline
255,+33582176990,inactive,prepaid,2024-12-07,2025-12-07,2024-12-06,ubertrand,410h,Kenitra,offline
